Semaine,Mois,Catégorie,Marque,Prix,Promotion,Réduction_%,Jour_férié,Météo,Ventes_S-1,Stock_début,Ventes
28,7,Alimentaire,Kirène,2000,1,0,0,Nuageux,110,245,120
14,4,Vêtements,Afriq Style,20000,1,20,0,Ensoleillé,40,62,54
2,1,Boissons,Kirène,2300,1,15,0,Très chaud,76,141,78
15,4,Boissons,Rani,1100,0,0,0,Ensoleillé,188,317,171
52,1,Hygiène,Palmolive,3400,1,25,0,Nuageux,66,79,67
34,9,Vêtements,Kantamanto,29500,1,5,0,Nuageux,21,45,20
35,9,Vêtements,Afriq Style,27200,1,10,0,Ensoleillé,27,63,33
29,8,Électroménager,Samsung,42300,1,5,0,Nuageux,8,17,9
16,4,Hygiène,Dove,1700,1,25,0,Nuageux,91,118,109
2,1,Électroménager,Moulinex,74500,1,5,0,Ensoleillé,7,15,7
1,1,Vêtements,Dakar Mode,15100,1,20,0,Pluvieux,18,39,24
15,4,Boissons,Gazelle,2800,0,0,0,Ensoleillé,156,195,152
50,1,Alimentaire,Patisen,5000,0,0,0,Très chaud,56,128,49
11,3,Alimentaire,Nestlé,5300,1,10,0,Très chaud,110,254,96
45,12,Hygiène,Colgate,4500,0,0,0,Très chaud,34,78,29
11,3,Boissons,Rani,600,0,0,0,Très chaud,76,141,94
35,9,Hygiène,Nivea,3900,1,0,0,Ensoleillé,79,170,74
2,1,Électroménager,Hisense,64800,1,10,0,Ensoleillé,7,12,7
21,6,Boissons,Coca-Cola,2400,1,5,0,Pluvieux,132,167,127
11,3,Vêtements,Wax & Co,22600,1,5,0,Ensoleillé,23,46,30
25,7,Alimentaire,Mama,2400,0,0,0,Nuageux,121,173,116
12,3,Électroménager,Samsung,135600,1,5,0,Ensoleillé,10,22,10
20,5,Hygiène,Dettol,4000,1,20,0,Ensoleillé,145,226,140
36,9,Électroménager,Brandt,49500,0,0,0,Nuageux,6,14,7
20,5,Boissons,Youki,1400,1,30,0,Nuageux,238,533,254
9,3,Hygiène,Colgate,3000,0,0,0,Nuageux,86,189,71
46,12,Boissons,Gazelle,1800,1,0,0,Pluvieux,64,122,71
34,9,Électroménager,Moulinex,142300,0,0,0,Nuageux,5,6,7
3,1,Vêtements,Kantamanto,17100,0,0,1,Ensoleillé,17,34,21
29,8,Boissons,Coca-Cola,500,0,0,0,Ensoleillé,127,315,162
23,6,Électroménager,Brandt,159400,1,20,0,Nuageux,17,27,15
24,6,Hygiène,Dettol,3900,0,0,0,Pluvieux,70,149,74
34,9,Alimentaire,Nestlé,6700,1,10,0,Très chaud,90,131,84
15,4,Vêtements,Kantamanto,6100,1,15,1,Nuageux,60,125,59
7,2,Alimentaire,Patisen,5600,0,0,0,Ensoleillé,65,142,67
40,10,Vêtements,Kente,28400,1,25,0,Nuageux,28,41,27
39,10,Alimentaire,Nestlé,3100,0,0,0,Ensoleillé,109,154,93
3,1,Boissons,Youki,1700,0,0,0,Nuageux,87,193,93
32,8,Hygiène,Palmolive,1400,0,0,0,Nuageux,81,201,89
41,11,Vêtements,Wax & Co,16900,0,0,0,Ensoleillé,21,29,19
33,9,Alimentaire,Nestlé,4600,0,0,0,Très chaud,100,199,82
26,7,Hygiène,Nivea,2300,1,20,0,Ensoleillé,84,209,81
32,8,Électroménager,Hisense,189900,0,0,0,Pluvieux,5,10,7
19,5,Boissons,Kirène,1000,0,0,0,Ensoleillé,155,218,133
35,9,Hygiène,Palmolive,4500,0,0,0,Ensoleillé,87,117,79
8,2,Hygiène,Dettol,2100,1,5,0,Ensoleillé,60,90,53
29,8,Vêtements,Kente,27900,1,25,0,Ensoleillé,55,96,49
8,2,Alimentaire,Kirène,5800,0,0,0,Ensoleillé,45,91,59
17,5,Hygiène,Dettol,4800,1,20,0,Pluvieux,91,142,82
43,11,Boissons,Coca-Cola,1700,0,0,0,Pluvieux,90,144,73
35,9,Hygiène,Dettol,2700,0,0,0,Pluvieux,73,105,60
16,4,Électroménager,Moulinex,45300,0,0,1,Ensoleillé,13,23,11
34,9,Hygiène,Palmolive,3700,0,0,0,Nuageux,69,150,62
10,3,Hygiène,Colgate,1800,0,0,0,Très chaud,61,92,52
47,12,Électroménager,LG,102900,1,30,0,Ensoleillé,8,17,9
3,1,Électroménager,Hisense,136500,1,15,1,Pluvieux,4,6,5
52,1,Alimentaire,Nestlé,2400,0,0,0,Très chaud,44,94,48
4,1,Hygiène,Palmolive,4800,1,30,0,Ensoleillé,56,85,71
5,2,Électroménager,Hisense,190500,0,0,0,Ensoleillé,8,11,7
9,3,Hygiène,Palmolive,1100,0,0,0,Nuageux,44,85,53
28,7,Électroménager,Samsung,197600,1,20,0,Ensoleillé,13,17,16
25,7,Boissons,Kirène,1900,0,0,0,Très chaud,137,324,126
15,4,Alimentaire,Patisen,3500,1,25,0,Ensoleillé,134,175,157
17,5,Vêtements,Afriq Style,9500,0,0,0,Ensoleillé,49,76,43
35,9,Boissons,Rani,1400,0,0,0,Ensoleillé,145,350,138
26,7,Boissons,Youki,1900,1,15,0,Nuageux,187,252,196
19,5,Hygiène,Dettol,3200,0,0,0,Ensoleillé,92,158,90
48,12,Boissons,Rani,2900,0,0,0,Ensoleillé,75,154,69
48,12,Boissons,Youki,2200,1,25,0,Ensoleillé,90,191,90
3,1,Hygiène,Dove,4300,0,0,0,Très chaud,38,65,36
10,3,Électroménager,LG,63000,1,30,0,Pluvieux,12,16,11
5,2,Électroménager,Hisense,142200,0,0,0,Pluvieux,2,3,3
9,3,Vêtements,Wax & Co,28800,0,0,0,Pluvieux,21,47,21
43,11,Alimentaire,Daffé,6500,0,0,0,Pluvieux,58,140,51
20,5,Hygiène,Nivea,3600,1,0,0,Nuageux,74,154,69
49,1,Hygiène,Dove,1600,0,0,0,Ensoleillé,43,60,45
45,12,Alimentaire,Mama,2200,1,25,0,Ensoleillé,44,90,59
52,1,Électroménager,LG,63300,0,0,0,Très chaud,4,9,4
42,11,Électroménager,Brandt,128700,0,0,0,Ensoleillé,5,10,5
16,4,Alimentaire,Daffé,6000,0,0,1,Nuageux,126,196,124
27,7,Boissons,Gazelle,600,1,0,0,Ensoleillé,159,244,176
8,2,Vêtements,Wax & Co,7800,0,0,0,Ensoleillé,16,26,18
7,2,Vêtements,Dakar Mode,22500,1,20,0,Ensoleillé,30,56,32
19,5,Vêtements,Wax & Co,6000,1,10,0,Très chaud,38,65,42
32,8,Électroménager,Hisense,132400,0,0,0,Nuageux,7,14,9
29,8,Boissons,Gazelle,1800,0,0,0,Ensoleillé,200,415,172
4,1,Électroménager,LG,53100,0,0,0,Ensoleillé,4,6,4
34,9,Vêtements,Wax & Co,9700,0,0,0,Très chaud,28,44,24
32,8,Électroménager,Brandt,157200,0,0,0,Nuageux,12,17,11
31,8,Hygiène,Dove,1600,0,0,0,Nuageux,69,100,70
47,12,Boissons,Rani,1900,1,15,1,Ensoleillé,123,255,100
45,12,Hygiène,Dettol,900,1,0,0,Pluvieux,19,34,26
42,11,Alimentaire,Nestlé,2500,1,5,0,Ensoleillé,64,94,60
20,5,Électroménager,Brandt,186000,1,5,0,Ensoleillé,8,9,10
10,3,Alimentaire,Mama,7300,0,0,0,Nuageux,92,175,96
24,6,Hygiène,Palmolive,2400,1,5,0,Ensoleillé,105,194,102
10,3,Vêtements,Wax & Co,29300,0,0,0,Très chaud,23,31,25
36,9,Vêtements,Dakar Mode,10100,0,0,0,Nuageux,27,56,25
18,5,Hygiène,Nivea,2200,0,0,0,Nuageux,87,171,82
31,8,Boissons,Kirène,2800,0,0,1,Ensoleillé,170,365,179
14,4,Hygiène,Dove,2000,1,0,0,Ensoleillé,64,144,81
13,4,Hygiène,Dettol,3100,1,20,1,Nuageux,135,204,143
1,1,Boissons,Gazelle,2300,0,0,0,Très chaud,54,70,57
16,4,Hygiène,Dettol,2300,0,0,0,Nuageux,82,161,70
48,12,Hygiène,Dove,3500,1,15,0,Ensoleillé,43,75,38
19,5,Hygiène,Nivea,900,0,0,0,Ensoleillé,87,200,83
19,5,Boissons,Coca-Cola,1300,0,0,0,Nuageux,132,251,127
20,5,Hygiène,Colgate,4800,0,0,0,Ensoleillé,93,144,92
6,2,Boissons,Kirène,1700,1,10,0,Ensoleillé,144,186,121
39,10,Vêtements,Dakar Mode,13100,1,25,0,Nuageux,23,37,31
13,4,Alimentaire,Nestlé,5700,0,0,0,Nuageux,113,234,93
11,3,Boissons,Kirène,2900,0,0,0,Nuageux,92,150,118
36,9,Hygiène,Dettol,1000,0,0,0,Ensoleillé,82,191,68
46,12,Alimentaire,Patisen,4100,1,20,0,Nuageux,81,113,66
10,3,Alimentaire,Nestlé,4800,0,0,0,Ensoleillé,75,128,93
34,9,Boissons,Kirène,1100,0,0,0,Ensoleillé,196,382,166
24,6,Hygiène,Dettol,1500,0,0,0,Nuageux,115,197,96
29,8,Hygiène,Colgate,3900,1,0,0,Ensoleillé,68,109,81
2,1,Boissons,Gazelle,2700,0,0,0,Ensoleillé,55,89,51
26,7,Électroménager,Hisense,162600,1,25,0,Nuageux,16,26,16
21,6,Boissons,Rani,1600,1,20,0,Ensoleillé,252,427,236
18,5,Hygiène,Colgate,2500,1,5,0,Ensoleillé,92,206,100
22,6,Électroménager,Moulinex,86800,1,0,0,Ensoleillé,10,15,14
31,8,Boissons,Gazelle,600,1,0,1,Pluvieux,144,329,162
39,10,Électroménager,Hisense,76300,0,0,0,Ensoleillé,5,8,7
6,2,Boissons,Rani,1400,0,0,0,Ensoleillé,77,147,102
16,4,Vêtements,Afriq Style,22900,0,0,0,Ensoleillé,38,84,32
34,9,Alimentaire,Kirène,7600,0,0,0,Ensoleillé,73,176,75
25,7,Alimentaire,Daffé,3100,1,25,0,Ensoleillé,202,502,218
47,12,Vêtements,Afriq Style,30600,0,0,0,Nuageux,16,29,17
40,10,Boissons,Gazelle,1300,1,10,0,Très chaud,120,294,118
39,10,Vêtements,Kente,10800,0,0,0,Ensoleillé,23,41,23
12,3,Vêtements,Wax & Co,30700,0,0,0,Pluvieux,28,42,23
46,12,Vêtements,Dakar Mode,12900,0,0,0,Très chaud,12,25,14
28,7,Boissons,Youki,1800,1,10,0,Ensoleillé,164,400,196
35,9,Électroménager,Brandt,44000,1,25,0,Nuageux,8,11,10
22,6,Vêtements,Wax & Co,29300,0,0,0,Ensoleillé,42,66,46
23,6,Hygiène,Colgate,2100,0,0,0,Nuageux,70,134,72
45,12,Boissons,Coca-Cola,1800,0,0,0,Pluvieux,65,100,63
9,3,Vêtements,Kente,19100,1,5,0,Nuageux,23,54,26
28,7,Alimentaire,Daffé,3400,0,0,0,Ensoleillé,102,160,103
38,10,Vêtements,Afriq Style,21000,0,0,0,Ensoleillé,15,31,20
52,1,Vêtements,Kente,20400,1,15,0,Nuageux,17,33,21
16,4,Électroménager,Hisense,81300,1,10,0,Ensoleillé,12,20,11
25,7,Vêtements,Kente,10800,1,25,0,Nuageux,36,47,46
42,11,Électroménager,Samsung,48200,1,15,0,Ensoleillé,5,8,5
26,7,Boissons,Kirène,700,0,0,0,Nuageux,209,430,190
15,4,Électroménager,LG,192500,1,5,0,Ensoleillé,10,12,11
30,8,Vêtements,Afriq Style,8700,1,5,0,Nuageux,31,46,29
9,3,Boissons,Coca-Cola,2200,0,0,0,Ensoleillé,160,255,132
51,1,Vêtements,Kantamanto,3700,1,15,1,Ensoleillé,34,59,28
28,7,Électroménager,Brandt,69100,0,0,0,Nuageux,8,12,9
47,12,Alimentaire,Daffé,4500,1,30,0,Ensoleillé,94,191,88
30,8,Hygiène,Dove,1900,0,0,1,Ensoleillé,130,207,110
13,4,Hygiène,Palmolive,3300,0,0,0,Ensoleillé,85,138,73
17,5,Hygiène,Palmolive,4200,0,0,0,Ensoleillé,75,182,92
21,6,Hygiène,Colgate,2600,0,0,0,Pluvieux,85,211,74
29,8,Boissons,Youki,800,1,20,1,Pluvieux,223,316,237
11,3,Électroménager,Hisense,59900,0,0,0,Nuageux,6,13,7
32,8,Hygiène,Dettol,1400,1,30,0,Très chaud,77,153,94
14,4,Électroménager,Brandt,129700,1,30,0,Ensoleillé,17,26,14
24,6,Vêtements,Dakar Mode,32400,0,0,0,Ensoleillé,32,45,39
7,2,Vêtements,Kente,28400,0,0,0,Très chaud,12,15,14
14,4,Alimentaire,Nestlé,5900,0,0,0,Ensoleillé,106,190,111
2,1,Boissons,Rani,2400,0,0,0,Très chaud,76,182,79
16,4,Hygiène,Dove,4000,0,0,0,Ensoleillé,69,93,83
46,12,Alimentaire,Mama,3800,1,0,0,Ensoleillé,49,63,57
32,8,Alimentaire,Daffé,3600,0,0,1,Très chaud,114,202,124
39,10,Vêtements,Wax & Co,16200,1,30,0,Nuageux,22,41,29
4,1,Hygiène,Palmolive,4300,0,0,0,Pluvieux,31,37,34
12,3,Électroménager,Brandt,117800,0,0,0,Très chaud,4,9,6
49,1,Alimentaire,Patisen,6500,1,30,0,Ensoleillé,106,228,92
42,11,Électroménager,Samsung,169900,0,0,0,Pluvieux,4,6,4
23,6,Alimentaire,Patisen,3400,0,0,0,Ensoleillé,98,239,125
27,7,Vêtements,Kente,12700,0,0,0,Pluvieux,24,44,33
1,1,Boissons,Coca-Cola,2200,1,0,0,Très chaud,84,204,71
14,4,Hygiène,Palmolive,1800,0,0,0,Pluvieux,85,147,79
1,1,Vêtements,Wax & Co,28700,1,25,0,Ensoleillé,19,27,25
27,7,Alimentaire,Nestlé,3000,1,30,0,Nuageux,172,313,174
35,9,Hygiène,Nivea,1300,0,0,0,Nuageux,71,170,65
41,11,Alimentaire,Nestlé,7900,1,25,0,Ensoleillé,72,142,88
36,9,Vêtements,Dakar Mode,26700,0,0,0,Très chaud,29,56,24
32,8,Hygiène,Dettol,4700,0,0,0,Ensoleillé,78,183,97
15,4,Alimentaire,Daffé,3900,1,10,1,Nuageux,103,143,131
33,9,Alimentaire,Nestlé,6400,0,0,0,Nuageux,53,84,66
17,5,Alimentaire,Nestlé,3900,1,5,0,Pluvieux,113,214,111
18,5,Électroménager,Moulinex,58300,0,0,0,Ensoleillé,13,21,12
18,5,Hygiène,Dettol,4000,0,0,0,Nuageux,105,183,87
26,7,Boissons,Kirène,2800,1,10,0,Ensoleillé,226,438,188
33,9,Boissons,Kirène,1100,0,0,0,Pluvieux,141,283,116
46,12,Boissons,Rani,2300,0,0,1,Ensoleillé,86,168,92
39,10,Boissons,Gazelle,1800,1,25,0,Nuageux,143,261,128
3,1,Boissons,Gazelle,2000,0,0,0,Pluvieux,59,125,59
24,6,Électroménager,Moulinex,182900,0,0,0,Ensoleillé,9,12,10
2,1,Boissons,Gazelle,2200,1,30,0,Pluvieux,108,210,88
34,9,Boissons,Rani,700,0,0,0,Pluvieux,112,221,97
51,1,Hygiène,Dettol,1600,0,0,0,Ensoleillé,45,97,39
37,10,Alimentaire,Patisen,7700,0,0,0,Nuageux,76,182,69
35,9,Électroménager,Moulinex,25300,0,0,0,Nuageux,9,11,8
3,1,Hygiène,Dove,1600,1,20,0,Pluvieux,37,50,46
10,3,Électroménager,Hisense,151200,1,30,0,Ensoleillé,13,20,14
36,9,Électroménager,Hisense,165300,0,0,0,Ensoleillé,9,14,10
21,6,Boissons,Coca-Cola,900,1,30,0,Nuageux,213,459,234
44,11,Boissons,Coca-Cola,1900,0,0,0,Nuageux,61,150,77
6,2,Vêtements,Kantamanto,33000,0,0,0,Nuageux,27,58,24
52,1,Boissons,Coca-Cola,2800,0,0,0,Ensoleillé,97,167,85
40,10,Vêtements,Kantamanto,32900,0,0,0,Ensoleillé,20,40,22
51,1,Électroménager,Hisense,193300,0,0,0,Ensoleillé,5,12,5
26,7,Boissons,Kirène,1400,0,0,0,Nuageux,183,382,156
30,8,Hygiène,Palmolive,2100,0,0,0,Ensoleillé,58,110,70
26,7,Vêtements,Afriq Style,29300,0,0,0,Nuageux,25,54,32
2,1,Hygiène,Dettol,3400,1,15,1,Nuageux,51,99,63
9,3,Vêtements,Kente,8600,0,0,0,Pluvieux,20,32,23
15,4,Électroménager,Moulinex,54000,0,0,0,Ensoleillé,8,19,8
23,6,Vêtements,Kente,26000,0,0,0,Ensoleillé,42,61,36
16,4,Vêtements,Dakar Mode,7700,1,20,0,Ensoleillé,27,50,36
5,2,Boissons,Gazelle,500,0,0,0,Très chaud,86,208,77
48,12,Électroménager,Brandt,67000,0,0,0,Ensoleillé,6,7,5
15,4,Vêtements,Kente,6600,0,0,0,Très chaud,32,40,27
36,9,Alimentaire,Daffé,5100,1,10,0,Nuageux,101,207,99
34,9,Alimentaire,Daffé,6000,0,0,0,Ensoleillé,115,172,95
34,9,Électroménager,Samsung,82100,0,0,0,Ensoleillé,7,13,9
38,10,Boissons,Kirène,2600,0,0,0,Nuageux,73,153,98
31,8,Hygiène,Colgate,4800,1,15,0,Nuageux,104,164,86
30,8,Boissons,Youki,1600,1,30,0,Ensoleillé,224,480,294
44,11,Électroménager,Hisense,69100,0,0,0,Très chaud,2,4,3
30,8,Vêtements,Wax & Co,25700,0,0,0,Pluvieux,24,35,25
44,11,Vêtements,Dakar Mode,27000,1,20,0,Ensoleillé,13,23,18
10,3,Hygiène,Dettol,3500,0,0,0,Ensoleillé,76,154,62
30,8,Vêtements,Kantamanto,19100,0,0,1,Ensoleillé,43,67,44
50,1,Alimentaire,Nestlé,7400,1,25,0,Nuageux,73,124,74
6,2,Alimentaire,Kirène,6600,0,0,0,Nuageux,35,85,40
21,6,Électroménager,Samsung,96200,1,0,0,Très chaud,7,13,10
41,11,Hygiène,Dove,1700,0,0,0,Ensoleillé,49,75,52
49,1,Alimentaire,Kirène,4000,1,10,0,Nuageux,62,150,59
9,3,Alimentaire,Patisen,4400,0,0,0,Nuageux,85,207,72
7,2,Alimentaire,Daffé,6000,0,0,0,Ensoleillé,59,135,76
29,8,Alimentaire,Daffé,1800,0,0,0,Ensoleillé,110,248,94
23,6,Alimentaire,Kirène,4900,0,0,0,Ensoleillé,98,160,128
35,9,Hygiène,Colgate,1800,1,20,0,Ensoleillé,53,108,71
22,6,Électroménager,Brandt,146300,1,0,0,Nuageux,13,25,11
34,9,Boissons,Coca-Cola,1500,0,0,0,Nuageux,115,220,110
14,4,Boissons,Gazelle,2700,1,0,0,Ensoleillé,138,213,165
48,12,Boissons,Rani,500,1,0,0,Ensoleillé,49,78,59
12,3,Électroménager,LG,70600,0,0,0,Nuageux,8,13,7
41,11,Hygiène,Dettol,2800,0,0,0,Nuageux,43,63,39
44,11,Électroménager,Hisense,33100,0,0,0,Très chaud,4,5,4
12,3,Vêtements,Kantamanto,16800,0,0,0,Pluvieux,18,39,21
32,8,Électroménager,Samsung,199800,0,0,0,Pluvieux,6,10,7
37,10,Hygiène,Dettol,4100,0,0,0,Pluvieux,40,99,38
13,4,Boissons,Coca-Cola,1300,0,0,0,Ensoleillé,118,273,145
12,3,Vêtements,Dakar Mode,31200,1,0,0,Ensoleillé,30,51,31
16,4,Vêtements,Afriq Style,7300,0,0,0,Pluvieux,27,51,33
52,1,Électroménager,Brandt,102500,0,0,0,Ensoleillé,4,7,5
39,10,Alimentaire,Nestlé,3800,1,10,0,Nuageux,68,161,76
20,5,Alimentaire,Daffé,5400,0,0,0,Pluvieux,87,197,100
37,10,Hygiène,Palmolive,3500,1,30,0,Ensoleillé,60,83,75
28,7,Électroménager,Hisense,183300,0,0,0,Très chaud,8,16,8
30,8,Électroménager,Hisense,82200,0,0,1,Ensoleillé,11,26,12
34,9,Vêtements,Wax & Co,17800,0,0,0,Pluvieux,21,52,23
3,1,Vêtements,Dakar Mode,9200,1,10,0,Pluvieux,16,39,13
27,7,Boissons,Youki,1600,1,0,0,Nuageux,146,317,129
20,5,Hygiène,Colgate,4700,1,15,0,Nuageux,122,282,105
34,9,Boissons,Rani,2500,0,0,0,Ensoleillé,154,381,128
5,2,Électroménager,Hisense,170300,1,25,0,Ensoleillé,7,11,10
15,4,Hygiène,Dove,4500,1,15,0,Très chaud,97,209,82
26,7,Électroménager,Brandt,111300,1,10,0,Ensoleillé,13,26,14
38,10,Vêtements,Afriq Style,32600,1,15,0,Nuageux,30,58,30
30,8,Électroménager,LG,186500,1,15,0,Ensoleillé,11,21,15
40,10,Vêtements,Dakar Mode,9500,1,25,0,Très chaud,24,58,20
29,8,Hygiène,Dove,4000,1,20,0,Ensoleillé,103,140,112
46,12,Électroménager,Samsung,122300,1,0,1,Nuageux,5,8,5
2,1,Électroménager,LG,27200,1,15,0,Ensoleillé,6,9,6
1,1,Vêtements,Dakar Mode,16000,1,30,0,Pluvieux,17,31,22
24,6,Électroménager,Brandt,75700,0,0,0,Très chaud,6,12,8
15,4,Alimentaire,Mama,7300,1,5,0,Ensoleillé,105,166,118
42,11,Électroménager,Brandt,53900,0,0,0,Pluvieux,3,7,4
2,1,Alimentaire,Daffé,5800,0,0,0,Nuageux,41,54,46
25,7,Électroménager,Brandt,137200,0,0,0,Nuageux,11,25,10
36,9,Boissons,Gazelle,2800,0,0,0,Ensoleillé,108,160,126
44,11,Vêtements,Wax & Co,4600,0,0,0,Nuageux,11,19,14
49,1,Vêtements,Wax & Co,25200,0,0,0,Nuageux,17,26,15
41,11,Hygiène,Colgate,4400,0,0,0,Nuageux,35,61,37
35,9,Vêtements,Kantamanto,11600,1,5,0,Très chaud,27,41,23
29,8,Vêtements,Wax & Co,5500,0,0,0,Pluvieux,34,54,32
50,1,Alimentaire,Kirène,4800,0,0,0,Ensoleillé,38,90,51
20,5,Électroménager,Samsung,89800,0,0,0,Ensoleillé,12,29,12
37,10,Boissons,Coca-Cola,2700,1,20,0,Très chaud,96,217,109
30,8,Alimentaire,Mama,5900,1,25,0,Pluvieux,137,188,114
23,6,Alimentaire,Mama,2900,0,0,0,Nuageux,107,170,123
5,2,Électroménager,LG,138400,1,10,0,Ensoleillé,10,18,9
6,2,Hygiène,Nivea,2300,0,0,0,Pluvieux,49,115,47
49,1,Boissons,Coca-Cola,2300,1,5,1,Ensoleillé,85,198,113
30,8,Électroménager,Brandt,78500,0,0,0,Pluvieux,8,9,9
19,5,Hygiène,Palmolive,1500,0,0,0,Ensoleillé,114,247,102
33,9,Hygiène,Nivea,1100,1,30,0,Nuageux,90,205,85
26,7,Vêtements,Kente,14600,1,30,0,Ensoleillé,57,72,52
26,7,Vêtements,Kantamanto,23100,0,0,0,Ensoleillé,48,57,40
18,5,Hygiène,Dove,1800,1,0,0,Nuageux,66,157,76
22,6,Électroménager,Moulinex,83400,1,10,0,Ensoleillé,13,23,13
9,3,Boissons,Coca-Cola,1200,1,5,0,Ensoleillé,140,183,139
6,2,Alimentaire,Patisen,3800,0,0,0,Ensoleillé,84,101,68
29,8,Électroménager,Moulinex,82600,0,0,1,Ensoleillé,8,15,10
11,3,Électroménager,Hisense,72500,0,0,0,Ensoleillé,5,10,7
51,1,Électroménager,Hisense,144200,1,0,1,Ensoleillé,6,14,6
38,10,Vêtements,Kantamanto,32500,0,0,0,Très chaud,20,47,21
40,10,Électroménager,Moulinex,169200,1,15,0,Ensoleillé,8,19,8
5,2,Alimentaire,Nestlé,5800,0,0,0,Nuageux,58,99,66
51,1,Boissons,Gazelle,500,0,0,0,Pluvieux,49,61,65
37,10,Vêtements,Wax & Co,28900,1,20,0,Nuageux,26,48,24
32,8,Électroménager,Samsung,147800,1,0,0,Pluvieux,8,11,8
51,1,Hygiène,Dettol,4400,0,0,0,Ensoleillé,55,101,45
24,6,Alimentaire,Mama,1700,0,0,0,Ensoleillé,124,286,130
39,10,Alimentaire,Daffé,2100,0,0,0,Ensoleillé,88,185,74
49,1,Vêtements,Kantamanto,22700,1,0,0,Ensoleillé,13,20,18
35,9,Électroménager,LG,112500,1,25,0,Nuageux,7,13,8
30,8,Hygiène,Nivea,3300,0,0,0,Pluvieux,55,89,58
17,5,Hygiène,Colgate,1700,1,5,0,Ensoleillé,113,180,93
26,7,Vêtements,Kente,7300,0,0,0,Ensoleillé,31,59,35
40,10,Boissons,Youki,2500,1,15,0,Ensoleillé,118,253,133
9,3,Boissons,Rani,1300,0,0,0,Nuageux,89,190,100
37,10,Vêtements,Wax & Co,30500,0,0,0,Pluvieux,15,32,17
24,6,Hygiène,Nivea,3400,0,0,0,Nuageux,70,95,81
24,6,Vêtements,Afriq Style,5000,0,0,0,Ensoleillé,18,38,24
22,6,Hygiène,Nivea,3700,0,0,0,Très chaud,81,180,71
36,9,Hygiène,Dettol,4300,0,0,0,Ensoleillé,52,63,67
15,4,Boissons,Gazelle,700,1,30,0,Nuageux,260,643,264
8,2,Vêtements,Afriq Style,14400,1,25,0,Nuageux,45,87,37
12,3,Hygiène,Nivea,1700,0,0,0,Ensoleillé,49,106,64
43,11,Hygiène,Nivea,4500,1,5,0,Pluvieux,30,61,30
18,5,Alimentaire,Patisen,4300,0,0,0,Pluvieux,88,165,88
3,1,Boissons,Gazelle,1700,0,0,0,Nuageux,65,98,69
32,8,Hygiène,Colgate,3600,0,0,1,Ensoleillé,122,146,98
22,6,Alimentaire,Mama,2000,0,0,0,Très chaud,89,195,101
42,11,Boissons,Youki,2800,1,25,0,Ensoleillé,132,218,139
5,2,Alimentaire,Kirène,2800,0,0,0,Ensoleillé,70,148,61
28,7,Boissons,Rani,900,1,5,0,Ensoleillé,185,340,185
5,2,Hygiène,Dettol,4600,0,0,0,Très chaud,38,64,40
23,6,Vêtements,Wax & Co,25300,1,0,0,Pluvieux,27,38,26
42,11,Alimentaire,Daffé,7200,0,0,0,Nuageux,37,63,49
51,1,Hygiène,Dettol,1000,1,25,0,Ensoleillé,63,88,54
41,11,Électroménager,Brandt,79700,0,0,0,Très chaud,4,6,4
9,3,Électroménager,Hisense,172600,1,15,0,Nuageux,7,11,9
47,12,Boissons,Rani,2700,0,0,0,Ensoleillé,64,138,71
50,1,Vêtements,Dakar Mode,21100,1,15,0,Pluvieux,15,18,17
48,12,Hygiène,Colgate,2100,0,0,0,Ensoleillé,47,78,41
47,12,Boissons,Rani,2300,1,20,0,Ensoleillé,61,127,78
51,1,Alimentaire,Nestlé,1500,0,0,0,Ensoleillé,53,123,49
49,1,Alimentaire,Kirène,6600,0,0,0,Ensoleillé,51,69,65
1,1,Boissons,Rani,1200,1,10,0,Nuageux,70,108,89
11,3,Alimentaire,Mama,6700,1,30,0,Nuageux,108,209,141
42,11,Électroménager,Samsung,84600,1,20,0,Nuageux,6,10,7
29,8,Électroménager,Moulinex,117000,0,0,0,Nuageux,9,18,8
9,3,Hygiène,Dove,2100,1,20,0,Pluvieux,57,86,75
39,10,Hygiène,Nivea,2500,0,0,0,Nuageux,48,83,61
27,7,Alimentaire,Kirène,2300,0,0,0,Nuageux,126,223,105
29,8,Électroménager,Moulinex,80800,0,0,0,Ensoleillé,10,18,12
41,11,Boissons,Coca-Cola,1000,0,0,0,Ensoleillé,79,173,66
32,8,Électroménager,Moulinex,53000,0,0,0,Nuageux,6,12,8
16,4,Alimentaire,Mama,4300,1,10,0,Nuageux,124,209,115
29,8,Hygiène,Dettol,3500,0,0,1,Très chaud,78,137,74
44,11,Électroménager,LG,124200,0,0,0,Ensoleillé,5,10,7
38,10,Boissons,Coca-Cola,1500,1,25,0,Très chaud,109,245,124
18,5,Vêtements,Dakar Mode,17500,0,0,0,Très chaud,37,75,32
41,11,Électroménager,Moulinex,197900,0,0,0,Ensoleillé,6,10,6
51,1,Hygiène,Palmolive,3500,0,0,0,Pluvieux,25,37,27
36,9,Vêtements,Kente,12800,0,0,0,Ensoleillé,25,55,30
30,8,Alimentaire,Mama,5300,0,0,1,Pluvieux,121,252,103
39,10,Alimentaire,Daffé,6900,1,30,0,Pluvieux,89,193,84
39,10,Alimentaire,Patisen,3000,0,0,0,Ensoleillé,50,124,65
44,11,Boissons,Youki,1400,0,0,0,Pluvieux,71,168,70
24,6,Vêtements,Wax & Co,16800,1,10,0,Nuageux,42,60,40
